K,Silhouette_Score,Davies_Bouldin_Index,Average_Conductance,Cramers_V,Min_Cluster_Size,Max_Cluster_Size,Time_Seconds
2,0.06511554613418072,2.042015243194758,0.04628584481974593,0.3838098874318015,5240,10499,1.3990161418914795
3,0.116211192160177,1.8356806200721272,0.04990796151006971,0.4306522057099369,3162,7102,1.601210117340088
4,0.13132310236988756,1.5530948063326118,0.05821832947486159,0.4360491447141956,400,6844,1.9177491664886475
5,-0.12794204083672686,1.7014163459510414,0.06688535506531815,0.46363929712225227,411,5964,1.7263596057891846
6,-0.10422820238223816,1.6138946922695467,0.08472779119513156,0.4743920569933144,409,6003,1.8167829513549805
7,-0.078295248108397,1.6567770526338739,0.09277929252791502,0.4857317325761849,403,4793,1.8832688331604004
8,-0.0806829305266084,1.6538001311227035,0.09360127038072164,0.5098389831565978,403,4759,3.9637744426727295
9,-0.06661728877291055,1.6959213331738967,0.10217990007349181,0.5625576256891307,399,4592,2.1451776027679443
10,-0.07765104531086264,1.7048826088153013,0.10706159832372446,0.5508629229152764,396,4718,2.084348440170288
11,-0.05918468746678281,1.5803576973885631,0.11027496807816185,0.5609532001986759,397,3341,1.950681209564209
12,-0.031907248267154575,1.5217340353706785,0.1127306860426507,0.5746357193579589,397,2979,2.3127036094665527
13,-0.021480456896902925,1.4339204689003717,0.11688318657189908,0.5792086235506039,393,2945,2.512376546859741
